status,datetime
no bird,2021-03-10 20:02:39.666569
no bird,2021-03-10 20:03:43.771460
no bird,2021-03-10 20:04:47.537348
no bird,2021-03-10 20:06:01.954517
no bird,2021-03-10 20:08:25.922774
no bird,2021-03-10 20:09:26.706573
no bird,2021-03-10 20:09:31.254783
no bird,2021-03-10 20:10:30.939544
no bird,2021-03-10 20:10:35.483423
no bird,2021-03-10 20:12:24.878077
no bird,2021-03-10 20:13:28.636686
no bird,2021-03-10 20:14:32.352050
no bird,2021-03-10 20:15:36.022215
no bird,2021-03-10 20:16:39.749723
no bird,2021-03-10 20:17:43.408360
no bird,2021-03-10 20:18:47.065426
no bird,2021-03-10 20:19:50.763844
no bird,2021-03-10 20:20:54.464801
no bird,2021-03-10 20:21:58.147334
no bird,2021-03-10 20:23:01.886823
no bird,2021-03-10 20:24:05.547764
no bird,2021-03-10 20:25:09.234523
no bird,2021-03-10 20:26:12.997135
no bird,2021-03-10 20:27:16.715372
no bird,2021-03-10 20:28:21.045748
no bird,2021-03-10 20:29:26.197328
no bird,2021-03-10 20:30:29.884680
no bird,2021-03-10 20:31:33.562892
no bird,2021-03-10 20:32:37.283848
no bird,2021-03-10 20:33:41.104378
no bird,2021-03-10 20:34:45.041555
no bird,2021-03-10 20:35:49.017273
no bird,2021-03-10 20:36:52.958737
no bird,2021-03-10 20:37:56.912610
no bird,2021-03-10 20:39:00.900317
no bird,2021-03-10 20:40:04.854494
no bird,2021-03-10 20:41:08.993194
no bird,2021-03-10 20:42:13.023153
no bird,2021-03-10 20:43:16.927724
no bird,2021-03-10 20:44:20.859781
no bird,2021-03-10 20:45:24.821701
no bird,2021-03-10 20:46:28.803250
no bird,2021-03-10 20:47:32.722249
no bird,2021-03-10 20:48:36.639548
no bird,2021-03-10 20:49:40.531340
no bird,2021-03-10 20:50:44.500600
no bird,2021-03-10 20:51:48.438594
no bird,2021-03-10 20:52:52.376857
no bird,2021-03-10 20:53:56.337066
no bird,2021-03-10 20:55:00.266949
no bird,2021-03-10 20:56:04.247161
no bird,2021-03-10 20:57:08.265334
no bird,2021-03-10 20:58:12.181171
no bird,2021-03-10 20:59:16.071532
no bird,2021-03-10 21:00:20.002036
no bird,2021-03-10 21:01:23.968115
no bird,2021-03-10 21:02:27.923682
no bird,2021-03-10 21:03:31.907582
no bird,2021-03-10 21:04:35.866745
no bird,2021-03-10 21:05:39.796552
no bird,2021-03-10 21:06:43.747523
no bird,2021-03-10 21:07:47.726190
no bird,2021-03-10 21:08:51.635908
no bird,2021-03-10 21:09:55.518422
no bird,2021-03-10 21:10:59.483734
no bird,2021-03-10 21:12:03.427432
no bird,2021-03-10 21:13:07.367483
no bird,2021-03-10 21:14:11.301484
no bird,2021-03-10 21:15:15.219255
no bird,2021-03-10 21:16:19.160850
no bird,2021-03-10 21:17:23.090186
no bird,2021-03-10 21:18:26.989871
no bird,2021-03-10 21:19:30.925860
no bird,2021-03-10 21:20:34.891073
no bird,2021-03-10 21:21:38.897274
no bird,2021-03-10 21:22:42.843418
no bird,2021-03-10 21:23:46.862863
no bird,2021-03-10 21:24:50.604835
no bird,2021-03-10 21:25:54.382039
no bird,2021-03-10 21:26:58.101044
no bird,2021-03-10 21:28:01.820221
no bird,2021-03-10 21:29:05.509126
no bird,2021-03-10 21:30:09.208451
no bird,2021-03-10 21:31:13.035188
no bird,2021-03-10 21:32:16.959189
no bird,2021-03-10 21:33:20.967954
no bird,2021-03-10 21:34:24.870094
no bird,2021-03-10 21:35:28.761486
no bird,2021-03-10 21:36:32.738261
no bird,2021-03-10 21:37:36.698300
no bird,2021-03-10 21:38:40.736432
no bird,2021-03-10 21:39:44.693160
no bird,2021-03-10 21:40:48.623960
no bird,2021-03-10 21:41:52.605803
no bird,2021-03-10 21:42:56.552745
no bird,2021-03-10 21:44:00.543530
no bird,2021-03-10 21:45:04.527897
no bird,2021-03-10 21:46:08.496993
no bird,2021-03-10 21:47:12.495172
no bird,2021-03-10 21:48:16.455705
no bird,2021-03-10 21:49:20.387657
no bird,2021-03-10 21:50:24.333325
no bird,2021-03-10 21:51:28.266494
no bird,2021-03-10 21:52:32.235239
no bird,2021-03-10 21:53:36.194890
no bird,2021-03-10 21:54:40.128904
no bird,2021-03-10 21:55:44.153648
no bird,2021-03-10 21:56:48.185263
